date,term,value
2025-01-22,Tom Welling,6.714285714285714
2025-01-23,Tom Welling,5.375
2025-01-24,Tom Welling,5.25
2025-01-25,Tom Welling,5.625
2025-01-26,Tom Welling,5.666666666666667
2025-01-27,Tom Welling,4.5
2025-01-28,Tom Welling,5.5
2025-01-29,Tom Welling,64.72222222222223
2025-01-22,Mark Milley,6.166666666666667
2025-01-23,Mark Milley,3.2083333333333335
2025-01-24,Mark Milley,1.9583333333333333
2025-01-25,Mark Milley,2.0
2025-01-26,Mark Milley,1.7083333333333333
2025-01-27,Mark Milley,1.2083333333333333
2025-01-28,Mark Milley,2.8333333333333335
2025-01-29,Mark Milley,37.05263157894737
2025-01-22,Federal employee buyout,0.0
2025-01-23,Federal employee buyout,0.0
2025-01-24,Federal employee buyout,0.0
2025-01-25,Federal employee buyout,0.0
2025-01-26,Federal employee buyout,0.0
2025-01-27,Federal employee buyout,0.041666666666666664
2025-01-28,Federal employee buyout,4.458333333333333
2025-01-29,Federal employee buyout,28.31578947368421
2025-01-22,Caroline Kennedy,0.0
2025-01-23,Caroline Kennedy,0.125
2025-01-24,Caroline Kennedy,0.4583333333333333
2025-01-25,Caroline Kennedy,0.25
2025-01-26,Caroline Kennedy,0.125
2025-01-27,Caroline Kennedy,0.0
2025-01-28,Caroline Kennedy,11.291666666666666
2025-01-29,Caroline Kennedy,34.05263157894737
2025-01-22,Lakers,6.166666666666667
2025-01-23,Lakers,6.5
2025-01-24,Lakers,21.75
2025-01-25,Lakers,7.791666666666667
2025-01-26,Lakers,24.916666666666668
2025-01-27,Lakers,7.875
2025-01-28,Lakers,19.875
2025-01-29,Lakers,22.57894736842105
2025-01-22,FAFSA,30.666666666666668
2025-01-23,FAFSA,19.125
2025-01-24,FAFSA,17.041666666666668
2025-01-25,FAFSA,12.708333333333334
2025-01-26,FAFSA,12.583333333333334
2025-01-27,FAFSA,19.041666666666668
2025-01-28,FAFSA,45.5
2025-01-29,FAFSA,34.26315789473684
2025-01-22,Jim Acosta,1.1666666666666667
2025-01-23,Jim Acosta,3.0833333333333335
2025-01-24,Jim Acosta,4.708333333333333
2025-01-25,Jim Acosta,1.3333333333333333
2025-01-26,Jim Acosta,1.0416666666666667
2025-01-27,Jim Acosta,0.9166666666666666
2025-01-28,Jim Acosta,29.041666666666668
2025-01-29,Jim Acosta,34.1578947368421
2025-01-22,RFK Jr,2.6666666666666665
2025-01-23,RFK Jr,2.9166666666666665
2025-01-24,RFK Jr,3.7916666666666665
2025-01-25,RFK Jr,2.8333333333333335
2025-01-26,RFK Jr,2.4166666666666665
2025-01-27,RFK Jr,2.8333333333333335
2025-01-28,RFK Jr,5.833333333333333
2025-01-29,RFK Jr,29.157894736842106
2025-01-22,Mar,72.66666666666667
2025-01-23,Mar,52.958333333333336
2025-01-24,Mar,55.916666666666664
2025-01-25,Mar,54.708333333333336
2025-01-26,Mar,55.958333333333336
2025-01-27,Mar,56.625
2025-01-28,Mar,69.83333333333333
2025-01-29,Mar,54.89473684210526
2025-01-22,Kristi Noem,2.1666666666666665
2025-01-23,Kristi Noem,1.375
2025-01-24,Kristi Noem,1.1666666666666667
2025-01-25,Kristi Noem,21.916666666666668
2025-01-26,Kristi Noem,18.958333333333332
2025-01-27,Kristi Noem,4.75
2025-01-28,Kristi Noem,13.125
2025-01-29,Kristi Noem,20.894736842105264
2025-01-22,Lay's potato chips recall,0.0
2025-01-23,Lay's potato chips recall,0.0
2025-01-24,Lay's potato chips recall,0.0
2025-01-25,Lay's potato chips recall,0.0
2025-01-26,Lay's potato chips recall,0.0
2025-01-27,Lay's potato chips recall,0.0
2025-01-28,Lay's potato chips recall,2.8333333333333335
2025-01-29,Lay's potato chips recall,51.10526315789474
2025-01-22,Rachael Kirkconnell,1.1666666666666667
2025-01-23,Rachael Kirkconnell,1.0
2025-01-24,Rachael Kirkconnell,0.7083333333333334
2025-01-25,Rachael Kirkconnell,0.4583333333333333
2025-01-26,Rachael Kirkconnell,0.625
2025-01-27,Rachael Kirkconnell,0.6666666666666666
2025-01-28,Rachael Kirkconnell,6.0
2025-01-29,Rachael Kirkconnell,30.157894736842106
2025-01-22,Project 2025,39.166666666666664
2025-01-23,Project 2025,36.5
2025-01-24,Project 2025,32.458333333333336
2025-01-25,Project 2025,31.166666666666668
2025-01-26,Project 2025,27.916666666666668
2025-01-27,Project 2025,25.958333333333332
2025-01-28,Project 2025,43.708333333333336
2025-01-29,Project 2025,52.36842105263158
2025-01-22,Tuberculosis,9.666666666666666
2025-01-23,Tuberculosis,9.916666666666666
2025-01-24,Tuberculosis,9.25
2025-01-25,Tuberculosis,8.041666666666666
2025-01-26,Tuberculosis,10.458333333333334
2025-01-27,Tuberculosis,15.916666666666666
2025-01-28,Tuberculosis,31.958333333333332
2025-01-29,Tuberculosis,38.21052631578947
2025-01-22,White House press secretary,4.166666666666667
2025-01-23,White House press secretary,2.3333333333333335
2025-01-24,White House press secretary,1.9166666666666667
2025-01-25,White House press secretary,1.5416666666666667
2025-01-26,White House press secretary,0.9583333333333334
2025-01-27,White House press secretary,2.2083333333333335
2025-01-28,White House press secretary,15.333333333333334
