shift,date,title,prob,url,topic_id
1,2025-01-28,Two state grants announced to Mercer County parks and recreation projects,1.0,https://www.wfmj.com/story/52266461/two-state-grants-announced-to-mercer-county-parks-and-recreation-projects,10
1,2025-01-25,Victor Wembanyama reflects on San Antonio 2 - game stay in Paris :  This week was amazing  ,1.0,https://www.the-messenger.com/news/world/article_15fd0a5e-0690-55af-b39a-db712cb10cf1.html,10
1,2025-01-25,Senate Confirms Kristi Noem As Homeland Security Secretary | NewsRadio 1450 / 1370 WKIP,1.0,https://1450wkip.iheart.com/content/2025-01-25-senate-confirms-kristi-noem-as-homeland-security-secretary/,10
1,2025-01-25,49er Hiring Of Robert Saleh Wont Bring Major Changes To Defense,1.0,https://www.forbes.com/sites/vincentfrank/2025/01/25/49ers-hiring-of-robert-saleh-wont-bring-major-changes-to-defense/,10
1,2025-01-22,Progressive Outrage After Kansas State Senator Mike Thompson Shuts Down Nun,1.0,https://www.tonyskansascity.com/2025/01/progressive-outrage-after-kansas-state.html,10
7,2025-01-26,Lin - Manuel Miranda reprises  Hamilton  role on  SNL  ,1.0,https://www.realitytvworld.com/news/lin-manuel-miranda-reprises-hamilton-role-on-snl-50225172.php,10
7,2025-01-25,Why This Trick to Cooking Pasta is Just an Urban Legend,1.0,https://b100quadcities.com/ixp/252/p/pasta-cooking-done-throw-wall-does-work-no-urban-legen/,10
7,2025-01-26,China Tells Rubio to Behave Himself in Veiled Warning,1.0,https://www.790wpic.com/news/china-tells-rubio-to-behave-himself-in-veiled-warning/,10
7,2025-01-23,Schwab US Large - Cap ETF ( NYSEARCA : SCHX ) Holdings Boosted by D . B . Root & Company LLC,0.9999998807907104,https://www.wkrb13.com/2025/01/23/schwab-us-large-cap-etf-nysearcaschx-holdings-boosted-by-d-b-root-company-llc.html,10
7,2025-01-26,  Face the Nation  moderator Margaret Brennan sits down with Vice President J . D . Vance for an exclusive interview,0.9999996423721313,https://kyma.com/decision-2024/national-politics/2025/01/26/face-the-nation-moderator-margaret-brennan-sits-down-with-vice-president-j-d-vance-for-an-exclusive-interview/,10
14,2025-01-23,Raft Exhibits Advanced C2 Capabilities at USAF Exercise,0.9999998807907104,https://executivegov.com/2025/01/raft-exhibits-c2-capabilities-usaf-exercise/,10
14,2025-01-23,Schwab US Large - Cap ETF ( NYSEARCA : SCHX ) Holdings Boosted by D . B . Root & Company LLC,0.9999992847442627,https://www.wkrb13.com/2025/01/23/schwab-us-large-cap-etf-nysearcaschx-holdings-boosted-by-d-b-root-company-llc.html,10
14,2025-01-25,Senate Confirms Kristi Noem As Homeland Security Secretary | NewsRadio 1450 / 1370 WKIP,0.999998927116394,https://1450wkip.iheart.com/content/2025-01-25-senate-confirms-kristi-noem-as-homeland-security-secretary/,10
14,2025-01-25,Senate Confirms Kristi Noem As Homeland Security Secretary,0.9999985694885254,https://woai.iheart.com/content/2025-01-25-senate-confirms-kristi-noem-as-homeland-security-secretary/,10
14,2025-01-25,Senate Confirms Kristi Noem As Homeland Security Secretary,0.9999985694885254,https://newstalk1230.iheart.com/content/2025-01-25-senate-confirms-kristi-noem-as-homeland-security-secretary/,10
