date,technology,economy,health,politics,country
2024-12-20,88,0,100,0,KR
2024-12-21,95,0,100,0,KR
2024-12-22,66,18,100,0,KR
2024-12-23,91,18,100,0,KR
2024-12-24,85,22,100,0,KR
2024-12-25,64,0,100,0,KR
2024-12-26,100,19,96,17,KR
2024-12-27,100,26,95,0,KR
2024-12-28,69,24,100,27,KR
2024-12-29,74,0,100,25,KR
2024-12-30,96,27,100,0,KR
2024-12-31,63,21,100,0,KR
2025-01-01,54,0,100,0,KR
2025-01-02,100,0,76,0,KR
2025-01-03,82,23,100,0,KR
2025-01-04,81,0,100,0,KR
2025-01-05,80,28,100,0,KR
2025-01-06,94,18,100,8,KR
2025-01-07,92,21,100,8,KR
2025-01-08,91,17,100,7,KR
2025-01-09,86,18,100,8,KR
2025-01-10,87,17,100,8,KR
2025-01-11,65,19,100,10,KR
2025-01-12,56,20,100,10,KR
2025-01-13,94,18,100,7,KR
2025-01-14,88,18,100,7,KR
2025-01-15,88,17,100,9,KR
2025-01-16,76,15,100,7,KR
2025-01-17,81,14,100,6,KR
2025-01-18,48,13,100,12,KR
